2025-11-11 15:00:27 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:27 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:27 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:27 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:27 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:27 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:27 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:27 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:27 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:27 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:27 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:27 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:02:11 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:02:11 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:02:11 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:02:11 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:02:11 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:02:11 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:02:11 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:02:11 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:02:11 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:02:11 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:02:11 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:02:11 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:51:54 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:51:54 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:51:54 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:51:54 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:51:54 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:51:54 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:51:54 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:51:54 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:51:54 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:51:54 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:51:54 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:51:54 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:58:58 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:58:58 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:58:58 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:58:58 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:58:58 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:58:58 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:58:58 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:58:58 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:58:58 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:58:58 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 18:58:58 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 18:58:58 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
